Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,,
2010-01-01 00:00:00+00:00,4882.0498046875,4882.0498046875,5310.85009765625,4766.0,5200.89990234375,0
2010-02-01 00:00:00+00:00,4922.2998046875,4922.2998046875,4992.0,4675.39990234375,4882.0498046875,0
2010-03-01 00:00:00+00:00,5249.10009765625,5249.10009765625,5329.5498046875,4935.35009765625,4935.60009765625,0
2010-04-01 00:00:00+00:00,5278.0,5278.0,5399.64990234375,5160.89990234375,5249.2001953125,0
2010-05-01 00:00:00+00:00,5086.2998046875,5086.2998046875,5278.7001953125,4786.4501953125,5278.39990234375,0
2010-06-01 00:00:00+00:00,5312.5,5312.5,5366.75,4961.0498046875,5086.25,0
2010-07-01 00:00:00+00:00,5367.60009765625,5367.60009765625,5477.5,5225.60009765625,5312.0498046875,0
2010-08-01 00:00:00+00:00,5402.39990234375,5402.39990234375,5549.7998046875,5348.89990234375,5369.5498046875,0
2010-09-01 00:00:00+00:00,6029.9501953125,6029.9501953125,6073.5,5403.0498046875,5403.0498046875,0
2010-10-01 00:00:00+00:00,6017.7001953125,6017.7001953125,6284.10009765625,5937.10009765625,6030.2998046875,0
2010-11-01 00:00:00+00:00,5862.7001953125,5862.7001953125,6338.5,5690.35009765625,6092.2998046875,0
2010-12-01 00:00:00+00:00,6134.5,6134.5,6147.2998046875,5721.14990234375,5871.0,0
2011-01-01 00:00:00+00:00,5505.89990234375,5505.89990234375,6181.0498046875,5416.64990234375,6177.4501953125,0
2011-02-01 00:00:00+00:00,5333.25,5333.25,5599.25,5177.7001953125,5537.2998046875,0
2011-03-01 00:00:00+00:00,5833.75,5833.75,5872.0,5348.2001953125,5382.0,0
2011-04-01 00:00:00+00:00,5749.5,5749.5,5944.4501953125,5693.25,5835.0,0
2011-05-01 00:00:00+00:00,5473.10009765625,5473.10009765625,5775.25,5328.7001953125,5766.89990234375,0
2011-06-01 00:00:00+00:00,5647.39990234375,5647.39990234375,5657.89990234375,5195.89990234375,5561.0498046875,0
2011-07-01 00:00:00+00:00,5482.0,5482.0,5740.39990234375,5453.9501953125,5705.75,0
2011-08-01 00:00:00+00:00,5001.0,5001.0,5551.89990234375,4720.0,5527.5,0
2011-09-01 00:00:00+00:00,4943.25,4943.25,5169.25,4758.85009765625,5109.7998046875,0
2011-10-01 00:00:00+00:00,5326.60009765625,5326.60009765625,5399.7001953125,4728.2998046875,4874.39990234375,0
2011-11-01 00:00:00+00:00,4832.0498046875,4832.0498046875,5326.4501953125,4640.9501953125,5278.60009765625,0
2011-12-01 00:00:00+00:00,4624.2998046875,4624.2998046875,5099.25,4531.14990234375,4970.85009765625,0
2012-01-01 00:00:00+00:00,5199.25,5199.25,5217.0,4675.7998046875,4675.7998046875,0
2012-02-01 00:00:00+00:00,5385.2001953125,5385.2001953125,5629.9501953125,5159.0,5198.14990234375,0
2012-03-01 00:00:00+00:00,5295.5498046875,5295.5498046875,5499.39990234375,5135.9501953125,5366.0,0
2012-04-01 00:00:00+00:00,5248.14990234375,5248.14990234375,5378.75,5154.2998046875,5296.35009765625,0
2012-05-01 00:00:00+00:00,4924.25,4924.25,5279.60009765625,4788.9501953125,5254.2998046875,0
2012-06-01 00:00:00+00:00,5278.89990234375,5278.89990234375,5286.25,4770.35009765625,4910.85009765625,0
2012-07-01 00:00:00+00:00,5229.0,5229.0,5348.5498046875,5032.39990234375,5283.85009765625,0
2012-08-01 00:00:00+00:00,5258.5,5258.5,5448.60009765625,5164.64990234375,5220.7001953125,0
2012-09-01 00:00:00+00:00,5703.2998046875,5703.2998046875,5735.14990234375,5215.7001953125,5276.5,0
2012-10-01 00:00:00+00:00,5619.7001953125,5619.7001953125,5815.35009765625,4888.2001953125,5704.75,0
2012-11-01 00:00:00+00:00,5879.85009765625,5879.85009765625,5885.25,5548.35009765625,5609.85009765625,0
2012-12-01 00:00:00+00:00,5905.10009765625,5905.10009765625,5965.14990234375,5823.14990234375,5878.25,0
2013-01-01 00:00:00+00:00,6034.75,6034.75,6111.7998046875,5940.60009765625,5982.60009765625,1293100
2013-02-01 00:00:00+00:00,5693.0498046875,5693.0498046875,6052.9501953125,5671.89990234375,6040.9501953125,3081200
2013-03-01 00:00:00+00:00,5682.5498046875,5682.5498046875,5971.2001953125,5604.85009765625,5702.4501953125,2879100
2013-04-01 00:00:00+00:00,5930.2001953125,5930.2001953125,5962.2998046875,5477.2001953125,5697.35009765625,2725300
2013-05-01 00:00:00+00:00,5985.9501953125,5985.9501953125,6229.4501953125,5910.9501953125,5911.39990234375,3077100
2013-06-01 00:00:00+00:00,5842.2001953125,5842.2001953125,6011.0,5566.25,5997.35009765625,2981700
2013-07-01 00:00:00+00:00,5742.0,5742.0,6093.35009765625,5675.75,5834.10009765625,3519500
2013-08-01 00:00:00+00:00,5471.7998046875,5471.7998046875,5808.5,5118.85009765625,5776.89990234375,5011800
2013-09-01 00:00:00+00:00,5735.2998046875,5735.2998046875,6142.5,5318.89990234375,5480.25,4485900
2013-10-01 00:00:00+00:00,6299.14990234375,6299.14990234375,6309.0498046875,5700.9501953125,5756.10009765625,3840600
2013-11-01 00:00:00+00:00,6176.10009765625,6176.10009765625,6332.60009765625,5972.4501953125,6289.75,3008100
2013-12-01 00:00:00+00:00,6304.0,6304.0,6415.25,6129.9501953125,6171.14990234375,3616400
